A4	[0]/'ei'fO:	n. A4型纸（规格为297×210毫米的纸）
sda	[0]	abbr. 肥皂和洗涤剂协会（Soap and Detergent Association）；苏格兰开发署（Scottish Development Agency）；源数据加工自动化（Source Data Automation）
sdb	[0]	abbr. 存储数据缓冲器（Store Data Buffer）
sdf	[0]	abbr. 自卫队（Self-Defense Forces）
sdh	[0]	abbr. 同步数据系列（Synchronous Digital Hierarchy）
sdhc	[0]	abbr. 一种存储卡（SanDisk 4GB Secure Digital High Capacity）
sdk	[0]	abbr. 软件开发工具包（Software Development Kit）
sdl	[0]	abbr. 系统描述语言（System Descriptive Language）；停炉装料（Shut-down Loading）
sdo	[0]	abbr. 服务数据对象（Service Data Objects）；合成干性油（synthetic drying oil）
sdr	[0]	abbr. 国际货币基金组织的特别提款权（special drawing rights）；计数据记录器（Statistical Data Recorder）；系统定义记录（System Definition Record）
sdram	[0]	abbr. 同步动态随机存取记忆体（Synchronous Dynamic random access memory）
sds	[0]	学生争取民主社会运动（Students for a Democratic Society）；十二烷基磺酸钠(Sodium Dodecyl Sulfonate)
sdu	[0]	n. 香港特别任务连（通称飞虎队，Special Duties Unit）；信号分配装置（Signal Distribution Unit）
se	[3A]//	abbr. 东南方（southeast）
sea	[3A]/siD/si	n. 海；海洋；许多；大量
seaboard	[3A]/'siDbODd/'sibOrd	n. 海滨；沿海地方；海岸线
seacoast	[3A]//'si,kost	n. [海洋] 海岸，沿岸；海滨
seafaring	[3A]/'siDfeErIN/'sifCrIN	adj. 航海的
seafloor	[2A]/'si,flor	n. 海底
seafood	[3A]/'siDfuDd/'sifud	n. 海鲜；海味；海产食品
seafront	[3A]/'siDfrRnt/'sifrRnt	n. 滨海区；面向海的一面
seagull	[3A]/'siDgRl/'siɡRl	n. 海鸥
seal	[3A]/siDl/sil	n. 密封；印章；海豹；封条；标志
sealed	[3A]/siDld/sild	adj. 密封的；未知的
sealer	[3A]/'siDlE/'silM	n. 盖印人；检验员；密封层；捕海豹的船或猎人
sealing	[3A]/'siDlIN/'silIN	n. 封闭，[机] 密封；补铸件的漏洞；猎捕海豹业
seam	[3A]/siDm/sim	n. 缝；接缝
seaman	[3A]/'siDmEn/'simEn	n. 海员，水手；水兵
seaming	[0]/'si:miN	n. 缝合，[木] 接缝；接合；折弯重叠加工
seamless	[3A]/'siDmlIs/'simlEs	adj. 无缝的；无缝合线的；无伤痕的
seamy	[3A]/'siDmI/'simi	adj. 丑恶的；露出线缝的
seance	[0]/'seBns	n. 降神会；会议
seaport	[3A]/'siDpODt/'sipOrt	n. 海港；港口都市
sear	[3A]/sIE/sIr	vt. 烤焦；使…枯萎
search	[3A]/sHDtF/sKtF	vi. 搜寻；调查；探求
searcher	[2A]/'sKtFM	n. 搜索者；检查官
searches	[0]	n. 搜索（search的复数）；检索
searching	[3A]/'sHDtFIN/'sKtFIN	adj. 搜索的；透彻的
searchlight	[3A]/'sHDtFlaIt/'sKtFlaIt	n. 探照灯；探照灯光
searing	[3A]/'sIErIN/'sIrIN	adj. 灼热的
sears	[3A]//	v. 使干枯；灼伤（sear的单三形式）
seas	[0]/si:z	n. 海洋（sea的复数）
seascape	[3A]/'siDskeIp/'si,skep	n. [海洋] 海景；海景画
seashell	[3A]/'siDFel/'si'FCl	n. 海贝，贝壳；海贝壳
seashore	[3A]/'siDFOD/'siFOr	n. 海滨；海岸
seaside	[3A]/'siDsaId/'sisaId	n. 海边；海滨
season	[3A]/'siDz(E)n/'sizn	n. 时期；季节；赛季
seasonable	[3A]/'siDz(E)nEb(E)l/'siznEbl	adj. 应时的；合时的；适合于季节的
seasonal	[3A]/'siDz(E)n(E)l/'sizEnl	adj. 季节的；周期性的；依照季节的
seasonally	[0]/'si:znli	adv. 季节性地；周期性地
seasoned	[3A]/'siDznd/'siznd	adj. 经验丰富的；老练的；调过味的
seasoner	[0]/'si:zEnE	n. 调味品；调味的人；使用调味物的人
seasoning	[3A]/'siDz(E)nIN/'sizEnIN	n. 调味品；佐料；风干；增添趣味的东西
seasonings	[0]/'si:zniNz	n. 调味品；作料（seasoning的复数）
seasons	[3A]/'si:znz/	n. 季节，四季
seat	[3A]/siDt/sit	n. 座位；所在地；职位
seatbelt	[3A]/si:tbelt/	n. 座位安全带
seated	[3A]//'sitId	adj. 就座的；固定的；根深蒂固的
seating	[3A]/'siDtIN/'sitIN	n. 就座；座位数
seats	[3A]//	n. 座椅，座位（seat的复数形式）
seawall	[0]/'siwOl	n. 海塘；防波堤
seaward	[3A]/'siDwEd/'siwMd	adj. 向海的；朝海的
seawater	[0]/'si,wOtM; 'si,wBtM	n. 海水
seaweed	[3A]/'siDwiDd/'si'wid	n. 海藻，海草
sec	[3A]/sek/sCk	abbr. 秒（second）
secant	[3A]/'siDk(E)nt; 'sek-/'sikAnt	adj. 割的；切的；交叉的
secede	[3A]/sI'siDd/sI'sid	vi. 脱离；退出
secession	[3A]/sI'seF(E)n/sI'sCFEn	n. 脱离；分离
seclude	[3A]/sI'kluDd/sI'klud	vt. 使隔离，使隔绝
secluded	[3A]/sI'kluDdId/sI'kludId	adj. 隐蔽的；隐退的，隐居的
seclusion	[3A]/sI'kluDG(E)n/sI'klJGEn	n. 隔离；隐退；隐蔽的地方
seclusive	[3A]/sI'kluDsIv/sI'klJsIv	adj. 喜隐居的；爱孤独的；隐退性的
seco	[0]	abbr. 经济事务秘书处（State Secretariat for Economic Affairs）；连续编码（Sequential Coding）
second	[3A]/'sek(E)nd/'sCkEnd	n. 秒；第二名；瞬间；二等品
second-grade	[0]	adj. 二流
second-hand	[2A]/'sCkEnd'hAnd	adj. 旧的，二手的
secondaries	[0]/'sCkEn,dCri	n. 次波；二期梅毒疹；副翼羽；次要的人或物（secondary的复数形式）
secondarily	[0]/'sCkEn,dCrEli	adv. 在其次；在第二，在第二位
secondary	[3A]/'sek(E)nd(E)rI/'sCkEndCri	adj. 第二的；中等的；次要的；中级的
seconde	[3A]/sI'kLnd/	n. 击剑中一种防守姿势
seconded	[0]/'sekEndid	vbl. 附议
secondhand	[3A]/'sekEnd'hAnd/'sCkEndhAnd	adj. 二手的；旧的；间接获得的；做旧货生意的
secondly	[3A]/'sek(E)ndlI/'sCkEndli	adv. 其次；第二
seconds	[3A]//'sCkEnd	n. 次级品，二等品
secrecy	[3A]/'siDkrIsI/'sikrEsi	n. 保密；秘密；隐蔽
secret	[3A]/'siDkrIt/'sikrEt	n. 秘密；秘诀；机密
secretarial	[3A]/,sekrE'teErIEl/'sCkrE'tCrIEl	adj. 秘书的；书记的；部长的
secretariat	[3A]/,sekrI'teErIEt/,sCkrE'tCErAt	n. 秘书处；书记处；秘书（书记，部长等）之职
secretary	[3A]/'sekrIt(E)rI/'sCkrE'tCri	n. 秘书；书记；部长；大臣
secrete	[3A]/sI'kriDt/sI'krit	vt. 藏匿；私下侵吞；[生]分泌
secretin	[1]/sI'kriDtIn	n. [生理] 分泌素；[生化][生理] 肠促胰液素
secretion	[3A]/sI'kriDF(E)n/sI'kriFEn	n. 分泌；分泌物；藏匿；隐藏
secretive	[3A]/'siDkrItIv/'sIkrEtIv	adj. 秘密的；偷偷摸摸的；促进分泌的
secretively	[0]/sI'kritIvli	adv. 隐匿地
secretiveness	[0]/si'kri:tivnis	n. 隐匿；分泌
secretly	[3A]/'siDkrItlI/	adv. 秘密地；背地里
secrets	[3A]//	n. 秘密；隐私（secret的复数）
secs	[0]	abbr. 半导体设备通信标准（SEMI Equipment Communication Standard）
sect	[3A]/sekt/sCkt	n. 宗派
sectarianism	[2A]/sCk'tCrIEnIzEm	n. 宗派主义；教派意识
section	[3A]/'sekF(E)n/'sCkFEn	n. 截面；部门；地区；章节
sectional	[3A]/'sekF(E)n(E)l/'sCkFEnl	adj. 部分的，节的；可组合的
sectioning	[0]/'sCkFEn	n. 分节；分割；解剖
sections	[3A]//'sCkFEn	n. 截面，节段；型材（section的复数）
sector	[3A]/'sektE/'sCktM	n. 部门；扇形，扇区；象限仪；函数尺
sectors	[3A]/'sektEs/	n. 部门；分区；扇区数（sector的复数）
sects	[0]/sekts	n. 教派；氏族与党派（sect的复数形式）
secu	[0]	abbr. 标准电子控制单元（Standard Electronic Control Unit）
secular	[3A]/'sekjJlE/'sCkjElM	adj. 世俗的；长期的；现世的；不朽的
secure	[3A]/sI'kjJE; sI'kjOD/sE'kjJr	adj. 安全的；无虑的；有把握的；稳当的
secured	[3A]//sI'kjJr	adj. 有担保的
securely	[3A]/sI'kjJElI/sI'kjJrli	adv. 安全地；牢固地；安心地；有把握地
securing	[3A]//sI'kjJr	adj. 固定住的；作为固定用的
securite	[0]/si'kju:rait	n. 安全炸药
securities	[3A]/si'kjuEritis/	n. [金融] 有价证券；担保；抵押物（security的复数）；保证人
security	[3A]/sI'kjJErItI; sI'kjODrItI/sE'kjJrEti	n. 安全；保证；证券；抵押品
sed	[0]	abbr. 航天工程文献（Space Engineering Document）；光谱能量分布（Spectral Energy Distribution）
sedan	[3A]/sI'dAn/sI'dAn	n. 轿车；轿子
sedate	[3A]/sI'deIt/	adj. 安静的；沉着的
sedative	[3A]/'sedEtIv/'sCdEtIv	n. [药] 镇静剂；能使安静的东西；止痛药
sedentary	[3A]/'sed(E)nt(E)rI/'sCdntCri	adj. 久坐的；坐惯的；定栖的；静坐的
sedge	[3A]/sedG/sCdG	n. 莎草
sediment	[3A]/'sedIm(E)nt/'sCdImEnt	n. 沉积；沉淀物
sedimentation	[3A]/,sedImEn'teIFEn/,sCdImCn'teFEn	n. [矿业][物化] 沉降，[化学] 沉淀
sediments	[0]/'sCdEmEnt	n. 沉积物，沉淀物（sediment的复数）
sedition	[3A]/sI'dIF(E)n/sI'dIFEn	n. 暴动；煽动性的言论或行为；妨害治安
seduce	[3A]/sI'djuDs/sI'dJs	vt. 引诱；诱惑；诱奸；怂恿
seducer	[3A]/sI'djuDsE/sI'dusM	n. 诱惑者；骗子；玩弄女性的人
seduction	[3A]/sI'dRkF(E)n/sI'dRkFEn	n. 诱惑；魅力；（复数）诱惑物
seductive	[3A]/sI'dRktIv/sI'dRktIv	adj. 有魅力的；性感的；引人注意的
sedulity	[3A]/sI'djuDlItI/	n. 勤奋
sedulous	[3A]/'sedjJlEs/'sCdGElEs	adj. 聚精会神的；勤勉的；勤苦工作的
see	[3A]/siD/si	vt. 看见；理解；领会
seed	[3A]/siDd/sid	n. 种子；根据；精液；萌芽；子孙；原由
seeded	[0]/'sidId	adj. 已播种了的；去籽的
seeder	[3A]/'siDdE/'sidM	n. 播种机；播种人；去籽机；人工造雨装置
seeding	[0]/'si:diN	n. 播种；晶种
seedling	[3A]/'siDdlIN/'sidlIN	n. 秧苗，幼苗；树苗
seeds	[3A]/si:dz/	n. 种子；种子选手（seed的复数）；种子状物；子孙后代
seedtime	[3A]/'siDdtaIm/	n. 发展阶段；准备阶段；播种时期
seedy	[3A]/'siDdI/'sidi	adj. 多种子的；结籽的；破烂的
seeing	[3A]/'siDIN/'siIN	n. 看见；视觉；观看；视力
seek	[3A]/siDk/sik	vt. 寻求；寻找；探索；搜索
seeker	[3A]/'siDkE/'sikM	n. 探求者；搜查人
seeking	[3A]/si:k/	v. 寻找；谋求（seek的ing形式）
seem	[3A]/siDm/sim	vi. 似乎；像是；装作
seemed	[3A]//	v. 似乎（seem的过去式）；装作
seeming	[3A]/'siDmIN/'simIN	n. 外观
seemingly	[3A]/'siDmINlI/'simINli	adv. 看来似乎；表面上看来
seemly	[3A]/'siDmlI/	adj. 适当的；有礼的；好看的
seen	[3A]/siDn/sin	adj. 看得见的
seep	[3A]/siDp/sip	vi. 漏；渗出
seepage	[3A]/'siDpIdG/'sipIdG	n. [流] 渗流；渗漏；渗液
seer	[3A]/'siDE; sIE/sIr	n. 预言家；幻想家；先知者
sees	[3A]//	abbr. 扩展企业应用套件（Sage Extended Enterprise Suite）
seesaw	[3A]/'siDsOD/'si,sO	n. 跷跷板；秋千
seethe	[3A]/siDT/siT	vi. 沸腾；冒泡；激动
seething	[3A]/'siDTIN/	adj. 火热的，沸腾的
seg	[3A]/seɡ/	n. 凹陷；种族隔离论者
sega	[0]	abbr. 世嘉株式会社（日本游戏公司）
segment	[3A]/'segm(E)nt/'sCɡmEnt	vi. 分割
segmental	[3A]/seg'ment(E)l/sCɡ'mCntl	adj. 部分的
segmentation	[3A]/,seɡmEn'teIFEn/,sCɡmCn'teFEn	n. 分割；割断；细胞分裂
segmented	[2A]/'sCɡmEntId	adj. 分段的
segmenting	[0]/'segmEntiN	n. 分段
segments	[3A]//'sCgmEnt	n. 片段；段数（segment的复数）；积弓形片模型
segregate	[3A]/'segrIgeIt/'sCɡrIɡet	vt. 使隔离；使分离；在…实行种族隔离
segregation	[3A]/,segrI'geIF(E)n/'sCgrI'geFEn	n. 隔离，分离；种族隔离
sei	[0]/saI	n. 大须鲸；鰛鲸
sein	[0]	vt. （德）是；（德）存在
seine	[3A]/seIn/sen	n. 围网；拖地大网
seismic	[3A]/'saIzmIk/'saIzmIk	adj. 地震的；因地震而引起的
seismology	[3A]/saIz'mLlEdGI/saIz'mBlEdGi	n. 地震学
seize	[3A]/siDz/siz	vt. 抓住；夺取；理解；逮捕
seizing	[1]/'siDzIN	n. 抓；夺；捆绑
seizure	[3A]/'siDGE/'siGM	n. 没收；夺取；捕获
seizures	[3A]//'siGM	n. 癫痫，痉挛；发作（seizure的复数）
sek	[0]	n. 克朗（瑞典货币单位）
seldom	[3A]/'seldEm/'sCldEm	adv. 很少，不常
select	[3A]/sI'lekt/sE'lCkt	vt. 挑选；选拔
selected	[3A]/sI'lektId/sE'lCkt	adj. 挑选出来的
selecting	[3A]//sE'lCkt	v. 选择（select的ing形式）
selection	[3A]/sI'lekF(E)n/sI'lCkFEn	n. 选择，挑选；选集；精选品
selectional	[0]/si'lekFEnEl	adj. 选择的
selections	[0]/sE'lCkFEn	n. 选择（selection的复数）；选集
selective	[3A]/sI'lektIv/sI'lCktIv	adj. 选择性的
selectively	[3A]//sE'lCktIvli	adv. 有选择地
selectivity	[3A]/sIlek'tIvItI; sel-; siDl-/sE,lCk'tIvEti	n. 选择性；分离性；选择度
selectman	[3A]/sI'lektmAn/sE'lCktmEn	n. 行政委员
selector	[3A]/sI'lektE/sE'lCktM	n. 选择器；挑选者
selectric	[0]/si'lektrik	n. 电动打字机
selects	[0]	n. 选辑；被选出的人（select的复数）
selenium	[3A]/sI'liDnIEm/sE'linIEm	n. [化学] 硒
self	[3A]/self/sClf	n. 自己，自我；本质；私心
self-absorbed	[0]/'selfEb'sO:bd	adj. 自私的；专心于自己的事务或利益的；固执己见
self-assurance	[3A]/'selfE'FuErEns/	n. 自信
self-assured	[0]/'selfE'FuEd	adj. 有自信的
self-centered	[3A]/,self'sentEd/	adj. 自我中心的；利己主义的
self-control	[3A]/'selfkEn'trEul/	n. 克己，自我控制
self-denial	[3A]/'selfdi'naiEl/	n. 自我否定；克己；忘我
self-development	[0]/,selfdi'velEpmEnt	n. 自我发展
self-discipline	[3A]/'self'disiplin/	n. 自律；自我修养；自我训练
self-explanatory	[3A]/'selfiks'plAnEtEri/	adj. 自明的；不需加以说明的
self-expression	[3A]/'selfiks'preFEn/	n. 自我表现
self-interest	[3A]/'self'intErist/	n. 私利；利己主义
self-realization	[3A]//'sClf,rIElI'zeFEn	n. 自我实现；自我完成
self-rule	[3A]/'self'ru:l/	n. 自治（等于self-government）
self-satisfaction	[0]/'self,sAtis'feikFEn	n. 自满；自鸣得意
self-sufficient	[3A]/'selfsE'fiFEnt/	adj. 自给自足的；极为自负的；过于自信的
self-taught	[3A]/'self'tO:t/	adj. 自学的；自修的
self-winding	[3A]/'self'waindiN/	adj. 自动上发条的
selfish	[3A]/'selfIF/'sClfIF	adj. 自私的；利己主义的
selfishly	[0]/'sClfIFli	adv. 自私地
selfishness	[3A]/'selfIFnIs/'sClfIFnIs	n. 自私自利；自我中心；任性
selfless	[3A]/'selflIs/'sClflEs	adj. 无私的；不考虑自己的
selflessness	[0]/'sClflIsnIs	n. 无私；忘我
selfsame	[3A]/'selfseIm/'sClfsem	adj. 完全相同的；同一的
sell	[3A]/sel/sCl	vt. 销售；推销；出卖；欺骗
sella	[0]/selE	n. 鞍
seller	[3A]/'selE/'sClM	n. 卖方，售货员
selling	[3A]/'selIN/'sClIN	n. 销售；出售
sellout	[0]/'sCl,aJt	n. 售完；客满的演出；背叛
sells	[3A]//	v. 卖；背叛，经营（sell第三人称形式）
selves	[3A]/selvz/sClvz	n. 自己，自我（self的复数）；私心
sem	[0]	abbr. 扫瞄式电子显微镜（scanning electron microscope）；标准电子组件（Standard Electronic Modules）
seman	[0]	n. 西曼（男子名）
semantic	[3A]/sI'mAntIk/sI'mAntIk	adj. 语义的；语义学的（等于semantical）
semantical	[0]/si'mAntikl	adj. 语义的
semantics	[3A]/sI'mAntIks/sE'mAntIks	n. [语] 语义学；语义论
semblance	[3A]/'semblEns/'sCmblEns	n. 外貌；假装；类似
semester	[3A]/sI'mestE/sI'mCstM	n. 学期；半年
semi	[3A]/'semI/'sCmi	n. 半挂车；半独立式的住宅
semiconductor	[3A]/,semIkEn'dRktE/,sCmIkEn'dRktM	n. [电子][物] 半导体
semiconscious	[3A]/,semI'kLnFEs/	adj. 半意识的；半清醒的
seminal	[3A]/'semIn(E)l/'sCmInl	adj. 种子的；精液的；生殖的
seminar	[3A]/'semInBD/'sCmInBr	n. 讨论会，研讨班
seminary	[3A]/'semIn(E)rI/'sCmE'nCri	n. 神学院；学校；发源地；高级中学
semolina	[3A]/semE'liDnE/,sCmE'linE	n. 粗粒小麦粉，粗面粉
senate	[3A]/'senIt/'sCnEt	n. 参议院，上院；（古罗马的）元老院
senator	[3A]/'senEtE/'sCnEtM	n. 参议员；（古罗马的）元老院议员；评议员，理事
senatorial	[3A]/,senE'tODrIEl/,sCnE'torIEl	adj. 参议院的；参议员的
sence	[3A]//	n. 盛思摄影（摄影室名）
send	[3A]/send/sCnd	vt. 发送，寄；派遣；使进入；发射
sender	[3A]/'sendE/'sCndM	n. [邮] 寄件人；发送人；发报机
sending	[3A]/'sendIN/	n. 发送；[通信] 发射；信件
sends	[0]/sCndz	vt. 发送（send第三人称单数）
senile	[3A]/'siDnaIl/'sinaIl	adj. 高龄的；老衰的；高龄所致的
senior	[3A]/'siDnIE; 'siDnjE/'sinIM	adj. 高级的；年长的；地位较高的；年资较深的，资格较老的
seniority	[3A]/siDnI'LrItI/,sinI'OrEti	n. 长辈；老资格；前任者的特权
seniors	[3A]//'sinjM	n. 年长者，老年人；资历较深的人（senior的复数形式）
sens	[0]	abbr. 系统事件通知服务（System Event Notification Service）
sensation	[3A]/sen'seIF(E)n/sCn'seFEn	n. 感觉；轰动；感动
sensational	[3A]/sen'seIF(E)n(E)l/sCn'seFEnl	adj. 轰动的；耸人听闻的；非常好的；使人感动的
sense	[3A]/sens/sCns	n. 感觉，官能；观念；道理；理智
sensed	[0]/'sensd	v. 感觉；了解（sense的过去式）
senseless	[3A]/'senslIs/'sCnslEs	adj. 愚蠢的；无知觉的；无意识的
senses	[0]/sens	n. 感觉；意义；理智；判断力（sense的复数）
sensibility	[3A]/,sensI'bIlItI/,sCnsE'bIlEti	n. 情感；敏感性；感觉；识别力
sensible	[3A]/'sensIb(E)l/'sCnsEbl	adj. 明智的；明显的；意识到的；通晓事理的
sensibly	[3A]/'sensEblI/'sCnsEbli	adv. 明显地；容易感知地；聪明地
sensing	[3A]/'sensIN/	n. 传感；感觉；测知
sensitive	[3A]/'sensItIv/'sCnsEtIv	adj. 敏感的；[仪] 灵敏的；感光的；易受伤害的
sensitively	[0]/'sCnsEtIvli	adv. 敏感地；易感知地
sensitivity	[3A]/sensI'tIvItI/'sCnsE'tIvEti	n. 敏感；敏感性；过敏
sensitization	[0]/,sCnsItI'zeFEn	n. 敏化作用；促进感受性；感光度之增强
sensitized	[0]/'sensitaizd	adj. [感光] 敏化的；激活的
sensor	[3A]/'sensE/'sCnsM	n. 传感器
sensors	[3A]//	n. 传感器，感应器；感测器（sensor的复数）
sensory	[3A]/'sens(E)rI/'sCnsEri	adj. 感觉的；知觉的；传递感觉的
sensual	[3A]/'sensjJEl; -FJEl/'sCnFuEl	adj. 感觉的；肉欲的；世俗的；感觉论的
sensuality	[3A]/sensjJ'AlItI; senFJ-/,sCnFJ'AlIti	n. 好色；淫荡；喜爱感官享受
sensuous	[3A]/'sensjJEs; 'senFJEs/'sCnFJEs	adj. 感觉上的，依感观的；诉诸美感的
sensus	[0]/'sensEs	n. 感觉
sent	[3A]/sent/sCnt	v. 送，寄出（send的过去分词）
sentence	[3A]/'sent(E)ns/'sCntEns	n. [语][计] 句子，命题；宣判，判决
sentential	[0]/sCn'tCnFEl	adj. 句子的；判决的
senti	[3A]/'sentI/	n. 生梯（坦桑尼亚分币）
sentient	[3A]/'senF(E)nt/'sCntIEnt	adj. 有感情的；有感觉力的；意识到的
sentiment	[3A]/'sentIm(E)nt/'sCntImEnt	n. 感情，情绪；情操；观点；多愁善感
sentimental	[3A]/sentI'ment(E)l/'sCntE'mCntl	adj. 感伤的；感情脆弱的
sentimentalism	[3A]/,sentI'mentElIzEm/,sCntE'mCntl,IzEm	n. 感情主义；沉于情感
sentimentality	[3A]/,sentImen'tAlItI/,sCntImCn'tAlEti	n. 多愁善感
sentimentalize	[3A]/sentI'mentElaIz/,sCntI'mCntElaIz	vt. 使感伤；为…而伤感
sentinel	[3A]/'sentIn(E)l/'sCntInl	n. 哨兵
sentry	[3A]/'sentrI/'sCntri	n. 哨兵；岗哨
seo	[0]	abbr. 搜索引擎优化（Search Engine Optimization）
sep	[2A]	abbr. 九月（September）
sepa	[0]	abbr. 国家环境保护总局（State Environmental Protection Administration）；单一欧洲支付区（Single Euro Payments Area）
sepal	[3A]/'sep(E)l; 'siDp(E)l/'sCpl	n. [植] 萼片；花萼
separable	[3A]/'sep(E)rEb(E)l/'sCpErEbl	adj. 可分离的；可分隔的
separate	[3A]/'sep(E)rEt/'sCprEt	vt. 使分离；使分开；使分居
separated	[3A]/'sepEreItId/'sCpEretId	adj. 分开的；分居；不在一起生活的
separately	[3A]/'sep(E)rEtlI/'sCprEtli	adv. 分别地；分离地；个别地
separateness	[0]/'sepEritnis	n. 分离；单独；分开
separating	[3A]/'sepEreitiN/	adj. 分离的；分隔的
separation	[3A]/sepE'reIF(E)n/,sCpE'reFEn	n. 分离，分开；间隔，距离；[法] 分居；缺口
separatist	[3A]/'sep(E)rEtIst/'sCprEtIst	n. 分离主义者；独立派
separator	[3A]/'sepEreItE/'sCpEretM	n. 分离器；[计] 分隔符
sepia	[3A]/'siDpIE/'sipIE	n. 乌贼；深褐色；乌贼的墨
sepsis	[3A]/'sepsIs/'sCpsIs	n. 败血症，[医] 脓毒病；腐败作用
sept	[3A]/sept/	n. 氏族；家族
septet	[1]/sep'tet	n. [计] 七位字节；七重奏
septic	[3A]/'septIk/'sCptIk	adj. 败血症的；[医] 脓毒性的；腐败的
sepulchral	[3A]/sI'pRlkr(E)l/sE'pRlkrEl	adj. 阴森森的；坟墓的，丧葬的
seq	[0]	abbr. 序列发生器；音序器（sequencer）
sequel	[3A]/'siDkw(E)l/'sikwEl	n. 续集；结局；继续；后果
sequela	[3A]/sI'kwiDlE/sI'kwilE	n. [医] 后遗症；结果；后继者
sequence	[3A]/'siDkw(E)ns/'sikwEns	n. [数][计] 序列；顺序；续发事件
sequencer	[2A]/'sikwEnsM	n. 程序装置，[计] 定序器
sequencing	[3A]/'siDkwEnsIN/'sikwEnsIN	n. [计] 排序；[计] 定序；排列程序
